Question,"","","","","","","",1,2,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,8
session_ID,Email,First Name,Last Name,Start Time,End Time,Duration,IP Address,What is your gender?,What is your age?,Where were you born?,"","","","","",Please describe if there are other reasons that affect your decision [Optional],"","","","","",Please describe if there are other reasons that affect your decision [Optional],"","","","","","",Please describe if there are other reasons that affect your decision [Optional],"","","","","",Please describe if there are other reasons that affect your decision [Optional],"What is your Twitter's screen_name?[Optional] Description: we may later collect some of your public information in Twitter using your screen name, e.g. number of followers, number of tweets, number of followed people, etc."
9855960,"","","",2012-12-03 17:19:33,"","",184.160.100.128,Male,21-35,Other North American Country,3,3,4,5,4,General aspects of person's tweets,3,3,1,1,4,Personal tweets,3,3,1,3,5,2,"",2,1,5,2,2,"",GodboutJonathan
9856020,"","","",2012-12-04 07:18:43,2012-12-04 07:57:48,00:39:05,95.9.177.90,Female,21-35,Other,1,3,2,5,3,i know that person,2,1,1,1,3,i do not know that person and we haven't got any mutual followers/followings,1,1,1,1,5,1,"",1,1,5,2,1,"",aylakaraa
9856023,"","","",2012-12-04 09:30:01,2012-12-04 09:33:39,00:03:38,157.88.123.203,Male,21-35,Spain,4,3,3,5,1,"",2,2,2,3,4,If this person follows a lot of people I suposse he/she is trying to catch followers and he/she doesn't care about me.,5,4,2,1,4,1,"",5,3,5,3,1,"",ciutti
