Question,"","","","","","","",1,2,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7
session_ID,Email,First Name,Last Name,Start Time,End Time,Duration,IP Address,What is your gender?,What is your age?,Where were you born?,"","","","","","","","","","","","","","","","","","","","",""
9854737,"",68964961,"",2012-11-23 20:08:43,2012-11-23 20:12:52,00:04:09,68.171.231.83,Male,56-65,Other North American Country,2,1,1,4,2,1,1,1,1,4,3,1,1,1,3,3,1,1,1,2,3
9854738,"",40746775,"",2012-11-23 20:10:27,2012-11-23 20:13:02,00:02:35,89.130.165.162,Male,21-35,Latin America,2,1,3,5,5,1,1,1,1,5,3,2,1,1,5,1,1,1,1,3,5
9854746,"",540084472,"",2012-11-23 23:04:04,2012-11-23 23:09:07,00:05:03,93.36.100.214,Male,36-45,Italy,1,3,2,5,2,5,1,1,1,3,4,1,2,1,5,2,4,1,1,3,2
9854997,"",665234882,"",2012-11-25 21:39:35,2012-11-25 21:42:26,00:02:51,64.134.164.141,Male,36-45,United States,1,5,2,4,1,4,1,1,1,4,1,3,1,1,5,1,1,1,1,2,4
